sessions_7d,session_change_7d,listening_minutes_7d,listening_change_7d,skip_rate,save_rate,share_rate,playlist_rate,search_rate,discovery_rate,unique_artists_7d,unique_genres_7d,days_active_14d,avg_session_minutes,subscription_age_days,support_tickets_30d,night_listening_share,completion_rate,avg_daily_sessions,weekend_usage_share,session_gap_hours,artist_concentration,genre_concentration,notification_open_rate,recommendation_click_rate,offline_downloads_30d,playlists_created_30d,social_interactions_30d,device_switch_rate,ad_skip_rate,notification_fatigue,content_diversity,churn,ltv,next_action
10,0.327244695385553,62.01720134384295,0.3718106006455381,0.4487942386764592,0.2995261298930389,0.1477169360640952,0.1328875546528314,0.3830409656622131,0.4806717509042528,14,8,14,6.201720134384295,66,1,0.4141647648970456,0.5438944540846232,0.7142857142857143,0.7301891981709937,55.322272871673526,0.1157146613827634,0.3045232966776116,0.0824050706358014,0.2085836912016737,4,2,4,0.1570266579902092,0.0615779166115931,0.541383655727754,0.7049066472062049,0,1691.2842218051164,SAVE
4,-0.06034685049274,39.52397837889952,-0.3704597461595725,0.025036541562765,0.1002437646644406,0.1000400679776147,0.0594424362616793,0.2103859385745885,0.2484954920440225,3,3,8,9.88099459472488,67,2,0.3349775274119002,0.959891775763586,0.5,0.3273326647711569,5.936897194546786,0.6983558141699067,0.1019897482273259,0.3107103806800929,0.6130643687000749,1,0,1,0.1849161023387464,0.2692585851749394,0.1820358215812633,0.3414973965832447,0,1220.9756837008974,PLAY
7,0.058314223972783,53.30300710344999,0.0905454154687619,0.2104836438110221,0.1460184064299723,0.0706853198395942,0.0372711108829211,0.1282061633641598,0.1496590989250339,6,5,7,7.614715300492856,107,1,0.2340167210334352,0.7454638796270591,1.0,0.4235242760092173,20.40249381269292,0.5068773935096417,0.5872519718265906,0.3118715677697648,0.3220258949508169,2,0,1,0.2967251701915567,0.0925816942687352,0.1546031760994445,0.2430233808972105,0,968.6906954256734,PLAY
6,-0.2054012639221245,69.86212060404125,-0.430330468676973,0.0945820094339253,0.2601432966890269,0.1247806371071764,0.1061313823063315,0.1520606393755217,0.1233667945286497,3,1,7,11.643686767340208,107,0,0.2107267884425149,0.8427209483836409,0.8571428571428571,0.6127710811333628,18.42983652730859,0.6256303280848614,0.2087440307822707,0.3717287837585202,0.4810818825413418,2,0,0,0.1418390274472295,0.1953391758316111,0.2227568097584286,0.2045772957501536,0,1228.9156906622493,SAVE
2,-0.1412375531090226,46.68361236063225,-0.0089213259877277,0.4167973841777229,0.1233773320487942,0.0706958689915813,0.214044224867617,0.1633856804877136,0.3506984707517624,5,1,7,23.341806180316127,30,0,0.4787093122313162,0.5423036469437291,0.2857142857142857,0.6615587006648626,15.259505810611786,0.346291487832631,0.2017699953302159,0.3289771508985593,0.1853455359518853,0,0,0,0.2319707631302908,0.4913320449263023,0.1424034898694395,0.2776164487163112,0,1047.4134407352396,CREATE_PLAYLIST
9,0.1832996966542095,17.013952203384346,0.3020676141831218,0.2720456723221791,0.0367369695808066,0.2301248969213533,0.0976789333751803,0.3765095888848379,0.3528646134345229,12,7,11,1.890439133709372,41,0,0.101302172141425,0.6880385164804742,0.8181818181818182,0.5377254980680659,7.954710928996988,0.1671054766135191,0.3958773890188,0.388139874231906,0.6591723935566651,6,6,6,0.0750318963545914,0.1750991571913528,0.2128177490000071,0.5393837465557961,0,1377.4665986730913,CREATE_PLAYLIST
7,-0.2780905652171358,42.29723459013458,-0.122411728759149,0.3143782256262802,0.1510292948457922,0.0458239582136318,0.0392416827505175,0.038802433319456,0.3919062528769357,6,2,6,6.04246208430494,667,0,0.3572947620091208,0.6390088873677436,1.1666666666666667,0.302067181571957,16.538941265892657,0.7184300570088809,0.4266962663937045,0.0977594969842094,0.4360639870125491,0,0,2,0.0510444873496168,0.0461868545133265,0.1515785436578189,0.3896385579165475,0,1084.3316439588748,SHARE
2,-0.2474399776877241,16.63689212882706,-0.385076014549029,0.4447641263906791,0.1760899364203774,0.1284132996734777,0.0653401219340004,0.1931909297070985,0.3741500130422606,1,1,3,8.31844606441353,116,0,0.2020179497100823,0.5049144564529209,0.6666666666666666,0.6079056988712394,67.07344918416396,0.8914008027450381,0.4761578258167732,0.0603732377226715,0.2238037340960984,0,0,0,0.2451138742677823,0.5866639608947868,0.3646281940686409,0.2016188288895065,0,419.4934695024998,SHARE
6,0.1504794956313207,21.39228816017982,-0.1268443668173281,0.2488266076211416,0.3115049533709783,0.1012831003410323,0.3074928628215685,0.3672166593975854,0.4590149172517138,11,7,11,3.56538136002997,47,0,0.4014560531805082,0.7089650915169138,0.5454545454545454,0.3259150054986005,18.60565365420417,0.272109366222574,0.13505981661722,0.3259355583701643,0.7139137267907912,7,2,3,0.4509583269509012,0.1031517217332603,0.110952224523727,0.5776474599646619,0,1433.556602139843,SAVE
11,-0.2779422013143158,34.00044760538618,0.0292095017959407,0.1458564220163082,0.3374756944226282,0.0515012371347996,0.0692855786932076,0.3468488794628382,0.5267447413658154,10,5,14,3.0909497823078342,1254,0,0.1195530148844514,0.8143233221703186,0.7857142857142857,0.2915248269144032,5.533206731572637,0.3251972777836064,0.3413089567077478,0.3648143262298286,0.2780351923428893,3,3,1,0.1196849109218448,0.1884339228644782,0.1028470413567603,0.5894526332149522,0,1377.560267556686,SAVE
